1,1,John Doe,buy,BTC,1000.0,98501.31,1732364646410
1,1,John Doe,buy,BTC,1999.0,98507.13,1732364730598
1,1,John Doe,buy,BTC,123.0,98512.18,1732364857561
1,1,John Doe,sell,BTC,20000.0,98582.05,1732366156635
1,1,John Doe,sell,BTC,100000.0,98574.39,1732366205380
1,1,John Doe,sell,BTC,50000.0,98538.8,1732366333383
1,1,John Doe,sell,BTC,70000.0,98550.31,1732366434657
1,1,John Doe,buy,DOGE,1000.0,0.4659893,1732367205199
1,1,John Doe,buy,XLM,1234.0,0.438523,1732369715628
1,1,John Doe,buy,TRX,1000.0,0.21892622,1732370016691
2,1,John Doe,sell,SOL,300.0,259.35886,1732370048126
3,1,John Doe,sell,BTC,121000.0,98640.2,1732370075365
4,1,John Doe,buy,BNB,80000.0,669.11383,1732370111859
1,1,John Doe,buy,CRO,100.0,0.20079859,1732370284578
1,1,John Doe,sell,BTC,20000.0,97582.625,1732381433925
1,1,John Doe,sell,BTC,80000.0,97544.89,1732381541209
1,1,John Doe,buy,BTC,1034.0,97501.28,1732381654278
2,1,John Doe,sell,BTC,12000.0,97481.75,1732381664546
1,1,John Doe,buy,BTC,123.0,97404.05,1732381761740
2,1,John Doe,sell,BTC,12000.0,97404.21,1732381768887
1,1,John Doe,Buy,BTC,1234.0,97523.61,1732381985908
2,1,John Doe,Sell,BTC,12345.0,97523.61,1732381991172
1,1,John Doe,Buy,BTC,123.0,97560.664,1732382069662
2,1,John Doe,Sell,BTC,6543.0,97561.3,1732382077177
1,1,John Doe,Buy,BTC,1234.0,97913.87,1732383047156
2,1,John Doe,Sell,BTC,12345.0,97913.64,1732383058494
1,1,John Doe,Buy,DOGE,1000.0,0.4296259,1732383156775
2,1,John Doe,Sell,DOGE,123.0,0.4296259,1732383162954
1,1,John Doe,Buy,DOGE,1234.0,0.42932692,1732383226117
2,1,John Doe,Sell,DOGE,420.0,0.42932692,1732383233049
1,1,John Doe,Sell,DOGE,0.3,0.43165937,1732383435562
2,1,John Doe,Buy,ETH,1234.0,3430.1155,1732383452516
3,1,John Doe,Sell,ETH,12.0,3430.1155,1732383458257
4,1,John Doe,Sell,BTC,12345.0,98034.88,1732383476985
